architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,_init,0001044c,Non-Crypto,1,1,2,0,0,0.0,3.0,1,2,0,0,0,0,3,0.0,0.10526315789473684,0,10,0.3157894736842105,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,False,False,False,False,0,0,0,2,0,6,0.21052631578947367,3.084962500721156,3.010570934268484,0.6666666666666666,2
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,_start,000104d8,Non-Crypto,1,2,3,0,0,0.06666666666666667,15.0,1,3,0,0,0,0,15,0.0,0.043478260869565216,0,20,0.13043478260869565,0.043478260869565216,0.10869565217391304,0.0,0.0,0.0,False,False,False,False,0,0,0,2,0,6,0.10869565217391304,4.598652005434406,2.3524566896399377,0.2,14
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,call_weak_fn,0001050c,Non-Crypto,3,3,2,0,0,0.0,3.3333333333333335,1,4,0,0,0,0,10,0.0,0.07941176470588235,0,36,0.07254901960784314,0.052941176470588235,0.04607843137254902,0.0,0.0,0.026470588235294117,False,False,False,False,1,0,0,4,2,6,0.07272727272727272,4.5964393446710154,4.072738468960348,0.2,7
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,deregister_tm_clones,00010530,Non-Crypto,4,5,3,0,0,0.15384615384615385,3.25,2,5,0,0,0,0,13,0.0,0.2,0,26,0.1375,0.2,0.05,0.0,0.0,0.0,False,False,False,False,1,0,0,4,0,8,0.02857142857142857,4.209867121904035,3.1399786482181,0.23076923076923078,9
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,register_tm_clones,0001055c,Non-Crypto,4,5,3,0,0,0.125,4.0,2,5,0,0,0,0,16,0.0,0.23629032258064517,0,57,0.09435483870967742,0.2120967741935484,0.05,0.0,0.0,0.024193548387096774,False,False,False,False,1,0,0,7,6,12,0.012987012987012988,4.6534955617749425,3.7275283797403787,0.1875,13
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,__do_global_dtors_aux,00010590,Non-Crypto,5,8,5,0,0,0.2,4.0,2,7,0,0,0,0,20,0.0,0.07191919191919191,0,30,0.2653832442067736,0.07191919191919191,0.14721330956625073,0.0,0.0,0.0,False,False,False,False,0,0,0,4,0,16,0.14035087719298245,4.680689288944334,3.145971326679435,0.25,17
arm,PRNG,clang,o0.elf,prng_ARM_clang_O0.elf,lcg_init,000105d8,PRNG,1,0,1,0,0,0.0,29.0,2,1,0,0,0,0,29,0.0,0.18681318681318682,0,57,0.2087912087912088,0.10989010989010989,0.18681318681318682,0.0,0.0,0.07692307692307693,False,False,False,False,0,0,16,11,7,19,0.18681318681318682,4.495858502738747,3.8943602191949953,0.034482758620689655,13
arm,PRNG,clang,o0.elf,prng_ARM_clang_O0.elf,lcg_next,0001064c,PRNG,1,0,1,0,0,0.0,23.0,2,1,0,0,0,0,23,0.0,0.03968253968253968,0,84,0.25396825396825395,0.015873015873015872,0.16666666666666666,0.0,0.023809523809523808,0.023809523809523808,False,False,False,False,0,0,20,2,3,35,0.16666666666666666,4.573087209796267,3.9462116229994177,0.043478260869565216,15
arm,PRNG,clang,o0.elf,prng_ARM_clang_O0.elf,xorshift128_init,000106a8,PRNG,4,4,2,1,1,0.0136986301369863,18.25,2,3,0,0,0,0,73,0.0,0.1388422035480859,0,185,0.1867841581076875,0.07224556489262371,0.1500272331154684,0.01793495175848117,0.0,0.04866168689698101,False,False,False,False,0,0,48,28,33,61,0.16262975778546712,4.930724343129199,3.7543349907044288,0.0273972602739726,29
arm,PRNG,clang,o0.elf,prng_ARM_clang_O0.elf,xorshift128_next,000107cc,PRNG,1,0,1,0,0,0.0,56.0,2,1,0,0,0,0,56,0.0,0.1673469387755102,0,153,0.22448979591836735,0.05714285714285714,0.15918367346938775,0.0326530612244898,0.0,0.07755102040816327,False,False,False,False,0,0,40,22,27,55,0.15918367346938775,4.692211202793305,3.7204022182085064,0.017857142857142856,20
arm,PRNG,clang,o0.elf,prng_ARM_clang_O0.elf,chacha_init,000108ac,PRNG,4,4,2,1,1,0.02040816326530612,12.25,2,3,0,0,0,0,49,0.0,0.0668324720068906,0,103,0.2215805340223945,0.01425925925925926,0.20189276485788113,0.0,0.0,0.052573212747631354,False,False,False,False,0,0,20,3,9,40,0.2215568862275449,4.223024482037852,3.7660053218200056,0.04081632653061224,20
