architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O0.elf,sha1_ARM_clang_O0.elf,_init,000103f0,Non-Crypto,1,1,2,0,0,0,3,1,2,0,0,0,0,3,0,0.105263158,0,10,0.315789474,0.105263158,0.210526316,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,2,0,6,0.210526316,3.251629167,3.010570934,0.666666667,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O0.elf,sha1_ARM_clang_O0.elf,_start,10464,Non-Crypto,1,2,3,0,0,0.066666667,15,1,3,0,0,0,0,15,0,0.043478261,0,20,0.130434783,0.043478261,0.108695652,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,2,0,6,0.108695652,4.644106551,2.35245669,0.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O0.elf,sha1_ARM_clang_O0.elf,call_weak_fn,10498,Non-Crypto,3,3,2,0,0,0,3.333333333,1,4,0,0,0,0,10,0,0.079411765,0,36,0.07254902,0.052941176,0.046078431,0,0,0.026470588,FALSE,FALSE,FALSE,FALSE,1,0,0,4,2,6,0.072727273,4.665311532,4.072738469,0.2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O0.elf,sha1_ARM_clang_O0.elf,deregister_tm_clones,000104bc,Non-Crypto,4,5,3,0,0,0.153846154,3.25,2,5,0,0,0,0,13,0,0.2,0,26,0.1375,0.2,0.05,0,0,0,FALSE,FALSE,FALSE,FALSE,1,0,0,4,0,8,0.028571429,4.209867122,3.139978648,0.230769231,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O0.elf,sha1_ARM_clang_O0.elf,register_tm_clones,1.04E+10,Non-Crypto,4,5,3,0,0,0.125,4,2,5,0,0,0,0,16,0,0.236290323,0,57,0.094354839,0.212096774,0.05,0,0,0.024193548,FALSE,FALSE,FALSE,FALSE,1,0,0,7,6,12,0.012987013,4.653495562,3.72752838,0.1875,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Non-Crypto,clang,O0.elf,sha1_ARM_clang_O0.elf,__do_global_dtors_aux,0001051c,Non-Crypto,5,8,5,0,0,0.2,4,2,7,0,0,0,0,20,0,0.071919192,0,30,0.265383244,0.071919192,0.14721331,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,4,0,16,0.140350877,4.680689289,3.145971327,0.25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,SHA-1,clang,O0.elf,sha1_ARM_clang_O0.elf,sha1_transform,10560,SHA-1,19,24,7,3,1,0.033149171,9.526315789,2,7,0,0,0,0,181,0,0.067615446,0,481,0.155571981,0.019483573,0.127330564,0.011964573,0,0.036167299,FALSE,FALSE,FALSE,FALSE,0,0,384,36,47,152,0.162568306,4.705837604,3.904056235,0.038674033,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,SHA-1,clang,O0.elf,sha1_ARM_clang_O0.elf,sha1_init,10844,SHA-1,1,0,1,0,0,0,25,2,1,0,0,0,0,25,0,0.064102564,0,48,0.230769231,0.025641026,0.269230769,0,0,0.038461538,FALSE,FALSE,FALSE,FALSE,0,0,4,2,3,18,0.269230769,3.771952437,3.604955509,0.04,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,SHA-1,clang,O0.elf,sha1_ARM_clang_O0.elf,sha1_update,000108bc,SHA-1,7,9,4,1,1,0.06122449,7,2,4,0,0,0,0,49,0,0.046618647,0,115,0.187735094,0.023809524,0.135894358,0,0,0.022809124,FALSE,FALSE,FALSE,FALSE,0,0,24,2,6,45,0.162436548,4.518219524,3.940215438,0.081632653,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,SHA-1,clang,O0.elf,sha1_ARM_clang_O0.elf,sha1_final,10980,SHA-1,13,19,8,3,1,0.040268456,11.46153846,2,12,0,0,0,0,149,0,0.059149858,0,398,0.170226656,0.021202953,0.121188502,0,0,0.037946905,FALSE,FALSE,FALSE,FALSE,0,0,20,20,37,136,0.146153846,4.803443473,3.985416358,0.053691275,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
