architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
ARM,Non-Crypto,clang,O0,xor_ARM_clang_O0.elf,_init,00010430,Non-Crypto,1,1,2,0,0,0.0,3.0,1,2,0,0,0,0,3,0.0,0.10526315789473684,0,10,0.3157894736842105,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,0,0,0,2,0,6,0.21052631578947367,3.084962500721156,3.010570934268484,0.6666666666666666,2
ARM,Non-Crypto,clang,O0,xor_ARM_clang_O0.elf,_start,000104bc,Non-Crypto,1,2,3,0,0,0.06666666666666667,15.0,1,3,0,0,0,0,15,0.0,0.043478260869565216,0,20,0.13043478260869565,0.043478260869565216,0.10869565217391304,0.0,0.0,0.0,0,0,0,2,0,6,0.10869565217391304,4.644106550888952,2.3524566896399377,0.2,14
ARM,Non-Crypto,clang,O0,xor_ARM_clang_O0.elf,call_weak_fn,000104f0,Non-Crypto,3,3,2,0,0,0.0,3.3333333333333335,1,4,0,0,0,0,10,0.0,0.07941176470588235,0,36,0.07254901960784314,0.052941176470588235,0.04607843137254902,0.0,0.0,0.026470588235294117,1,0,0,4,2,6,0.07272727272727272,4.5964393446710154,4.072738468960348,0.2,7
ARM,Non-Crypto,clang,O0,xor_ARM_clang_O0.elf,deregister_tm_clones,00010514,Non-Crypto,4,5,3,0,0,0.15384615384615385,3.25,2,5,0,0,0,0,13,0.0,0.2,0,26,0.1375,0.2,0.05,0.0,0.0,0.0,1,0,0,4,0,8,0.02857142857142857,4.209867121904035,3.1399786482181,0.23076923076923078,9
ARM,Non-Crypto,clang,O0,xor_ARM_clang_O0.elf,register_tm_clones,00010540,Non-Crypto,4,5,3,0,0,0.125,4.0,2,5,0,0,0,0,16,0.0,0.23629032258064517,0,57,0.09435483870967742,0.2120967741935484,0.05,0.0,0.0,0.024193548387096774,1,0,0,7,6,12,0.012987012987012988,4.6534955617749425,3.7275283797403787,0.1875,13
ARM,Non-Crypto,clang,O0,xor_ARM_clang_O0.elf,__do_global_dtors_aux,00010574,Non-Crypto,5,8,5,0,0,0.2,4.0,2,7,0,0,0,0,20,0.0,0.07191919191919191,0,30,0.2653832442067736,0.07191919191919191,0.14721330956625073,0.0,0.0,0.0,0,0,0,4,0,16,0.14035087719298245,4.680689288944334,3.145971326679435,0.25,17
ARM,XOR-CIPHER,clang,O0,xor_ARM_clang_O0.elf,xor_init,000105b8,XOR-CIPHER,1,3,4,0,0,0.07142857142857142,14.0,1,4,0,0,0,0,14,0.0,0.0625,0,26,0.25,0.041666666666666664,0.1875,0.0,0.0,0.020833333333333332,0,0,16,2,1,12,0.1875,4.415782586594435,3.6496738967715503,0.2857142857142857,12
ARM,XOR-CIPHER,clang,O0,xor_ARM_clang_O0.elf,xor_key_schedule,000105f0,XOR-CIPHER,8,11,5,2,1,0.0449438202247191,11.125,2,5,0,0,0,0,89,0.0,0.06183765131105945,0,285,0.16201816152341947,0.025051124744376277,0.12095142379965254,0.0011503067484662577,0.0003834355828220859,0.035636219818216915,0,0,24,16,34,82,0.11085972850678733,4.766425729569414,4.0932406559786605,0.056179775280898875,42
ARM,XOR-CIPHER,clang,O0,xor_ARM_clang_O0.elf,xor_encrypt_block,00010758,XOR-CIPHER,10,15,7,2,1,0.03278688524590164,12.2,2,6,0,0,0,0,122,0.0,0.04362464190221543,0,260,0.16753518111790172,0.005018181818181818,0.1273662210338681,0.0008,0.0,0.03780646008403361,0,0,48,8,19,111,0.18442622950819673,4.681853977092303,3.8787676464088503,0.05737704918032787,43
ARM,XOR-CIPHER,clang,O0,xor_ARM_clang_O0.elf,substitute_bytes,00010940,XOR-CIPHER,7,8,3,1,1,0.04878048780487805,5.857142857142857,2,3,0,0,0,0,41,0.0,0.05185482087571871,0,115,0.18265575368903542,0.01680672268907563,0.1167634996582365,0.0,0.0,0.035048098186643076,0,0,16,2,5,35,0.13372093023255813,3.9897658122585824,3.9146486080211234,0.07317073170731707,23
