architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,_init,000103d0,Non-Crypto,1,1,2,0,0,0,3,1,2,0,1,0,0,3,1.677477229,0.1,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,2,0,6,0.2,3.251629167,2.770950594,0.666666667,2
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,__libc_start_main,000103f0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,3,1,2,0.047619048,3.418295834,1.911092835,0.666666667,2
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,__cxa_finalize,000103fc,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.697983841,0.142857143,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,3,1,2,0.047619048,3.418295834,1.911092835,0.666666667,2
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,printf,10408,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.727395606,0.142857143,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,3,1,2,0.047619048,3.418295834,1.911092835,0.666666667,2
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,putchar,10420,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,3,1,2,0.047619048,3.418295834,1.911092835,0.666666667,2
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,abort,0001042c,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.756807371,0.142857143,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,3,1,2,0.047619048,3.418295834,1.911092835,0.666666667,2
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,_start,10438,Non-Crypto,1,2,3,2,2,1,15,1,3,0,2,2,0,15,1.253551365,0.041666667,30,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,0,6,0.104166667,4.644106551,1.694761075,0.2,14
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,call_weak_fn,0001046c,Non-Crypto,3,3,2,1,1,0.333333333,3.333333333,0,4,0,3,1,0,10,1.078692152,0.076190476,48,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,3,0,0,6,2,6,0.070175439,4.596439345,2.208620241,0.2,7
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,deregister_tm_clones,10490,Non-Crypto,4,5,3,0,0,0,3.25,1,5,2,3,0,0,13,1.426280096,0.166666667,20,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,2,0,0,4,0,8,0.027027027,4.209867122,1.915124978,0.230769231,9
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,register_tm_clones,000104bc,Non-Crypto,4,5,3,0,0,0,4,1,5,2,3,0,0,16,1.286681447,0.202956989,86,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,2,0,0,13,3,12,0.012658228,4.653495562,2.110876198,0.1875,13
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,__do_global_dtors_aux,000104f0,Non-Crypto,5,8,5,2,2,0.25,4,2,7,2,6,2,0,20,1.419996549,0.065833333,40,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,2,0,0,4,0,16,0.133333333,4.635234743,2.439399605,0.25,17
arm,AES-128,clang,O1,aes128_arm_clang_O1.elf,AES128_Encrypt,10534,AES-128,3,12,11,0,0,0,15.66666667,0,8,1,11,0,0,47,1.440253424,0.050146758,154,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,40,12,10,40,0.121212121,4.877894187,2.385150354,0.234042553,22
arm,AES-128,clang,O1,aes128_arm_clang_O1.elf,KeyExpansion,000105f0,AES-128,5,6,3,1,1,0.166666667,10.4,1,3,2,4,1,0,52,1.229778067,0.078659412,226,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,6,0,0,19,16,58,0.161971831,5.411404214,2.394092116,0.057692308,28
arm,AES-128,clang,O1,aes128_arm_clang_O1.elf,AddRoundKey,000106c8,AES-128,3,3,2,0,0,0,3,1,3,1,2,0,0,9,0.909366985,0.168518519,74,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,6,4,5,0.047619048,4.419381946,1.788577117,0.222222222,8
arm,AES-128,clang,O1,aes128_arm_clang_O1.elf,SubBytes,000106ec,AES-128,3,3,2,0,0,0,3.333333333,1,3,1,2,0,0,10,1.247364972,0.144871795,77,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,5,3,7,0.061538462,4.577567157,1.955461129,0.2,9
arm,AES-128,clang,O1,aes128_arm_clang_O1.elf,ShiftRows,10718,AES-128,1,0,1,0,0,0,26,1,1,0,0,0,0,26,1.426707988,0.020408163,38,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,2,0,34,0.326530612,4.066100685,2.294581903,0.038461538,6
arm,AES-128,clang,O1,aes128_arm_clang_O1.elf,MixColumns,10780,AES-128,3,7,6,0,0,0,14.66666667,1,4,1,6,0,0,44,1.194947013,0.106248216,158,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,44,22,20,36,0.12145749,5.027085957,2.158349107,0.136363636,24
arm,Non-Crypto,clang,O1,aes128_arm_clang_O1.elf,main,10830,Non-Crypto,3,7,6,4,4,0.571428571,16,1,6,1,6,4,0,48,1.50217465,0.122299383,180,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,2,0,64,35,17,29,0.087155963,5.518818458,2.570795138,0.125,23
arm,AES-128,clang,O1,aes128_arm_clang_O1.elf,xt,000108f8,AES-128,1,0,1,0,0,0,6,1,1,0,0,0,0,6,1.121896027,0.30952381,52,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,12,6,2,0,4.251629167,1.728228433,0.166666667,5
arm,Non-Crypto,clang,O2,aes128_arm_clang_O2.elf,_init,000103d0,Non-Crypto,1,1,2,0,0,0,3,1,2,0,1,0,0,3,1.677477229,0.1,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,2,0,6,0.2,3.251629167,2.770950594,0.666666667,2
arm,Non-Crypto,clang,O2,aes128_arm_clang_O2.elf,__libc_start_main,000103f0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,2.048913383,0.142857143,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,3,1,2,0.047619048,3.418295834,1.911092835,0.666666667,2
arm,Non-Crypto,clang,O2,aes128_arm_clang_O2.elf,__cxa_finalize,000103fc,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.990089853,0.142857143,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,3,1,2,0.047619048,3.418295834,1.911092835,0.666666667,2
arm,Non-Crypto,clang,O2,aes128_arm_clang_O2.elf,printf,10408,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.96641867,0.142857143,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,3,1,2,0.047619048,3.418295834,1.911092835,0.666666667,2
arm,Non-Crypto,clang,O2,aes128_arm_clang_O2.elf,putchar,10420,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,2.048913383,0.142857143,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,3,1,2,0.047619048,3.418295834,1.911092835,0.666666667,2
arm,Non-Crypto,clang,O2,aes128_arm_clang_O2.elf,abort,0001042c,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,2.048913383,0.142857143,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,3,1,2,0.047619048,3.418295834,1.911092835,0.666666667,2
arm,Non-Crypto,clang,O2,aes128_arm_clang_O2.elf,_start,10438,Non-Crypto,1,2,3,2,2,1,15,1,3,0,2,2,0,15,1.253551365,0.041666667,30,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,0,6,0.104166667,4.644106551,1.694761075,0.2,14
